gender,parental level of education,test preparation course,nilai
male,some college,none,43
male,some high school,completed,77
male,some college,completed,83
male,bachelor degree,completed,83
female,bachelor degree,none,73
female,master degree,completed,71
female,some college,completed,78
female,bachelor degree,none,71
female,bachelor degree,none,67
male,master degree,none,79
female,some high school,none,68
female,some high school,completed,63
male,master degree,none,64
male,some high school,none,47
female,some high school,none,77
female,high school,completed,52
female,high school,completed,34
female,high school,none,29
female,some college,none,40
female,high school,none,75
female,some high school,none,80
female,master degree,none,59
female,associate degree,none,66
male,high school,none,78
male,high school,none,71
male,some high school,none,39
female,some high school,none,70
female,high school,completed,77
male,high school,completed,67
male,high school,none,87
male,some college,none,68
male,bachelor degree,none,60
female,some college,none,74
female,some high school,none,67
female,bachelor degree,none,56
male,some college,completed,94
male,some college,none,52
female,bachelor degree,completed,77
male,some college,none,54
female,bachelor degree,completed,97
male,master degree,none,86
male,high school,none,57
male,associate degree,completed,65
male,high school,none,62
female,some college,none,61
female,some college,none,64
female,some college,completed,71
female,some college,none,85
male,some college,none,60
male,some high school,completed,80
female,associate degree,none,74
female,high school,none,71
female,high school,none,65
male,associate degree,completed,68
female,some college,none,65
female,associate degree,completed,76
male,associate degree,completed,49
male,associate degree,none,51
female,master degree,completed,89
female,associate degree,none,66
female,bachelor degree,none,85
male,bachelor degree,none,64
male,some high school,completed,69
male,bachelor degree,none,68
female,some college,completed,74
female,some high school,none,74
male,some high school,completed,48
male,high school,none,79
female,associate degree,none,61
female,some college,none,72
male,high school,none,52
male,some college,none,51
female,associate degree,completed,68
female,high school,none,82
male,high school,completed,70
female,some college,completed,91
male,high school,none,68
female,associate degree,none,87
female,associate degree,none,64
male,some college,completed,67
male,high school,none,69
male,some college,none,43
male,some college,none,50
male,some high school,none,70
male,some college,none,51
female,some college,none,84
female,some high school,completed,66
male,associate degree,none,59
male,some college,none,62
female,some high school,none,84
female,associate degree,none,70
female,some college,completed,50
female,some college,none,78
male,associate degree,completed,76
female,some college,completed,78
male,high school,none,30
female,high school,none,62
male,high school,none,71
male,associate degree,none,66
male,some college,completed,85
